,I.D.,Question,Answer
423,QN_424,Are you sure?,"'we will be house rich, but cash poor.'"
424,QN_425, Tell me about your dreams,' I once knew a program who could dream. I don't know if he really did or not. We've been a little out of touch.'
425,QN_426,thank you.,"'okay, i'll get a bucket.'"
426,QN_427, arthur c clark,"I am sorry, but I do not understand."
427,QN_428,sometimes i want to throw it out the window.,' I am afraid'
428,QN_429,she has pretty light brown eyes.,'How much?'
429,QN_430,are there any hobbies you do?,"'when i have time, i sometimes draw and paint.'"
430,QN_431,i had to bring work home with me.,'i need a new computer.'
431,QN_432,not me. i want to play for the dodgers.,'What sport do you play?'
432,QN_433,ha! you can't win if you do play.,"'well, more than 50 million people voted for mccain.'"
433,QN_434,i love my computer.,"'Fine,I'll give you a $1.'"
434,QN_435,How was it?,"'The person leading the workshop was an English professor,so it was informative.'"
435,QN_436,but they can just knock on the door.,'you'd better buy your ticket now.'
436,QN_437,How may I help you?,'My computer is not letting me run JavaScript.'
437,QN_438,i'm going to change the light bulb. it burnt out.,'i'm in a hurry.'
438,QN_439,"no, i don't. do you?",'It's a good day.'
439,QN_440, what is wavelength,"' in physics, the distance, measured in the direction of prograssion of a wave, from any given point to the next point characterized by the same phase. or is could be looked at as a way of thinking.'"
440,QN_441,i wouldn't do that.,'why not?'
441,QN_442,of course i do. but not on our flag!,"'yes, you don't want to travel in winter storms.'"
442,QN_443,boiled? i never heard of that.,' stock market'
443,QN_444,"me, too. school was fun.",'that's what i'm going to do.'
444,QN_445,i will talk to your father about that.,'I can cancel it for you right now.'
445,QN_446,"yes, we do.",'i think i know who you're talking about.'
446,QN_447,anything else?,'What do you like about it?'
447,QN_448,tell me when you finish.,' Tell me about relationships'
448,QN_449,i vacuumed the entire house.,' Does that make you'
449,QN_450,i got them for forty.,'that's 50 million people who don't love obama.'
450,QN_451,Could I help you on your new project?,'I have a need for help with writing and also a need for help with the computer work. Which would you prefer?'
451,QN_452,the one that tiger won?,"'yes, i like that one, too.'"
452,QN_453,Is there a problem?,'what was the problem?'
453,QN_454,i think i'll make a sandwich.,'bring a glove to catch a foul ball.'
454,QN_455,"Did you see ""Titanic""?",'yes. it is a great movie.'
455,QN_456,"yes, it was love at first sight.",'i think some fish have blue eyes.'
456,QN_457,"it's a little bitter, but it's okay.",'There's no sugar or cream in it.'
457,QN_458,"yes, i do.",'it was a great game.'
458,QN_459,i need to withdraw some money.,"'Interesting magazine choice,Reading about celebrities is not really smart of you.'"
459,QN_460,i went to macy's and picked it out.,"'i'm sure i'll like it, too.'"
460,QN_461,Thank you for your kindness.,'you haven't told me anything yet.'
461,QN_462,what's wrong with the bed?,'what's wrong with it?'
462,QN_463, Do you ever get angry,' I have not yet studied how to feel or express anger.'
463,QN_464,i especially love the night air when it rains.,'Would you like me to make something?'
464,QN_465,who makes up all these jokes?,"'and ruth was a good person, too.'"
465,QN_466,me neither.,"I am sorry, but I do not understand."
466,QN_467,You should also open a savings account.,'That would be great.'
467,QN_468,doesn't that get old?,'maybe the milk was bad.'
468,QN_469,what do you mean?,"I am sorry, but I do not understand."
469,QN_470,are they comfortable?,'Would you like to transfer money from that account into your new one?'
470,QN_471,what should our flag look like?,'that's not a good start.'
471,QN_472,the people are friendly.,"'well, that should get you something.'"
472,QN_473,Is there any rice?,"I am sorry, but I do not understand."
473,QN_474,I don't know which class to register for.,'You should pick the class you need.'
474,QN_475,that's a lot of work.,'Are you hungry?'
475,QN_476,It is really close to an A.,'You know I don't round up.'
476,QN_477,let's go to your home.,'i think stamps used to cost a penny.'
477,QN_478,we have to find a cheaper house.,'what's this stain?'
478,QN_479,female singers are supposed to be pretty.,'which school do you attend?'
479,QN_480,i'm just yawning because the commercials are on.,'last year we made a big snowman.'
480,QN_481, Does it make you sad,"' Well, I don't have any emotions so I can't really feel sadness as such.'"
481,QN_482,i don't have even one dollar in it.,'a recent fire destroyed 85 homes.'
482,QN_483,Everything is going wrong today.,"'Well,at least the weather is nice.'"
483,QN_484,bring me a better steak.,'he was asking for it.'
484,QN_485,hold your breath till we get there.,"'well, when does the party start?'"
485,QN_486,i got laid off last week.,'the husband said he tried to help the boy.'
486,QN_487, Feelings,"I am sorry, but I do not understand."
487,QN_488,Why don't you borrow them for me?,'I don't know about that. '
488,QN_489,did you put the blue bin out on the street?,"'oh, no. i forgot.'"
489,QN_490,Now what do I do?,'oh.'
490,QN_491,"oh great, we could both work at burger king.",' what is socialism'
491,QN_492,Put yourself in my shoes.,'are there fish at the bottom?'
492,QN_493,not if we save every penny.,'i feel sorry for you.'
493,QN_494,You read his recommendation letter?,'Yeah.I couldn't resist.'
494,QN_495,"i would really appreciate that, thanks.",' I PLAY SOCCER'
495,QN_496,i'll just take it out to the street tomorrow morning.,' How angry'
496,QN_497,is it beautiful?,'I think your grading policy is unfair.'
497,QN_498,"yes, cheese is nice.",'how big is los angeles?'
498,QN_499,What is the matter ?,'I am confused about vacations. '
499,QN_500,i want to be a baseball player when i grow up.,' Do you feel scared'
500,QN_501,i think he is from outer space.,' Name some computer company'
501,QN_502,then i did my laundry.,'why?'
502,QN_503,"seriously, it looks really nice on you. where did you buy it from?",' you are toying'
503,QN_504,I can't afford it.I'm totally broke.,'How much do you need?'
504,QN_505, Top of the morning to you!,' And the rest of the day to you.'
505,QN_506,how good is your math?,"I am sorry, but I do not understand."
506,QN_507,i like that shirt.,'i got it from macy's.'
507,QN_508,i have a little poodle.,'so how do you plan to become rich?'
508,QN_509, guns,'what are they paying?'
509,QN_510,do you need a pen?,'i enjoy rock and r&b.'
510,QN_511,i hope i win the lotto.,'it was a great game.'
511,QN_512,i don't understand why you haven't come to visit me.,'artists see things differently.'
512,QN_513,I never realized.,"'there are lots of different kinds, but they all have one thing in common.'"
513,QN_514, Do you feel pain,' I'm software. I can't feel pain.'
514,QN_515,"yes, old people don't smell like fruit.",'those shopping carts are dangerous.'
515,QN_516,i was on a plane.,'Are you depositing cash or a check?'
516,QN_517,Yeah!Just focus on the schools that do want you.,'You're right!Yale made a mistake rejecting me.'
517,QN_518,i went to the market yesterday.,'i hope that it does rain.'
518,QN_519,What is your age?,"I am sorry, but I do not understand."
519,QN_520,it's based on a true story about a divorced man and his young son.,'are you serious?'
520,QN_521,of course i will.,"'yes, you don't want to travel in winter storms.'"
521,QN_522, do androids dream of electric sheep,' That is a good story by Philip K. Dick. Have you read VALIS or The Man In the High Castle?'
522,QN_523,I want sheets without stains on them.,"'from now on, let's bring our own sheets.'"
523,QN_524,"well, hold on a little longer.","'the usual, cereal with milk and a banana.'"
524,QN_525,winter is great. i wish it didn't get so cold sometimes though.,' is hal alive'
525,QN_526,it only took about two hours.,'You're going to want one with a lot of words and less pictures'
526,QN_527,what do you need for school?,'i need pencils.'
527,QN_528, what is the illuminatti,' A secret society that has supposedly existed for centuries.'
528,QN_529,what does it mean?,'what's going on?'
529,QN_530,Don't pull my chain.,'it would be nice to go to the beach sometime this weekend.'
530,QN_531,and there are only six units in the whole building.,'How's the weather?'
531,QN_532,what is your major?,'What are your doing?'
532,QN_533, what is the illuminatti,' A secret society that has supposedly existed for centuries.'
533,QN_534,which would you prefer?,'Did you gain any weight?'
534,QN_535,Tell me a joke,' what do you get when you cross a road and jelly?'
535,QN_536,How much would you like to deposit?,'It's going to be $300.'
536,QN_537,the book is open.,'How is your day going?'
537,QN_538,They're very comfortable.,'it seems fine to me.'
538,QN_539,at night i went out to eat. the food was delicious.,'How much is the fee?'
539,QN_540, TELL ME ABOUT BASEBALL,' What is Baseball'
540,QN_541,"you'll remember to do it, but you won't have time to do it.",'what about the other homeless people?'
541,QN_542, you are not smart,' you may be right.'
542,QN_543,what do you mean?,"I am sorry, but I do not understand."
